UniqueID,PeriodName,PeriodNumber,Date,Injury,Position,FieldTime,PlayerLoad,PlayerLoad2d,PlayerLoadSlow,PlayerLoad1dFwd,PlayerLoad1dSide,PlayerLoad1dUp,PlayerLoadMin,PlayerLoadMetre,ExertionIndex,PeakPlayerLoad
8988,Session,0,1/13/2022,N,Midfielder,0:12:05,112.2887,64.5262,31.9146,37.0826,44.7709,79.7137,9.8718,0.0953,8.5878,4.2057
8988,Warm Up,1,1/13/2022,N,Midfielder,1:26:28,558.4514,366.0927,219.5769,229.9071,239.3674,365.4386,6.4523,0.0988,43.6592,4.4024
8988,Technical Passing,2,1/13/2022,N,Midfielder,0:04:43,25.5951,16.3242,11.4973,9.8698,10.8779,17.0833,5.4191,0.1240,1.1141,2.0983
8988,3v3+1 Zone Passing to Pugg,3,1/13/2022,N,Midfielder,0:19:22,143.4161,95.3454,24.3325,61.9471,61.5163,92.8721,7.3877,0.0964,18.0403,2.4556
8988,5v5 Small Field,4,1/13/2022,N,Midfielder,0:11:16,61.3693,40.5440,50.4552,23.5788,27.9323,39.3672,5.4380,0.1424,0.8038,3.2156
8988,Session,0,1/13/2022,N,Midfielder,0:40:06,429.5242,241.9736,428.4934,125.0587,180.8558,310.8065,10.7004,0.0000,0.0000,5.1501
8988,Warm Up,1,1/13/2022,N,Midfielder,0:09:42,66.0271,37.5386,65.5385,19.4788,27.9169,47.0077,6.7997,0.0000,0.0000,3.0152
8988,Technical Passing,2,1/13/2022,N,Midfielder,0:08:39,95.2386,55.0094,95.1494,28.7928,40.7237,67.9207,10.9891,0.0000,0.0000,3.8647
8988,3v3+1 Zone Passing to Pugg,3,1/13/2022,N,Midfielder,0:07:12,79.8469,45.7623,79.7556,22.8751,34.9378,57.4656,11.0724,0.0000,0.0000,3.8695
8988,5v5 Small Field,4,1/13/2022,N,Midfielder,0:14:33,188.4116,103.6633,188.0500,53.9120,77.2774,138.4126,12.9469,0.0000,0.0000,5.1501
9083,Session,0,1/13/2022,N,Forward,1:02:07,276.3979,160.4972,139.5462,90.7500,113.0694,194.4886,4.4495,0.1164,13.8622,5.0052
9083,Warm Up,1,1/13/2022,N,Forward,1:12:52,236.0341,147.8850,146.8120,76.6020,110.3918,155.0346,3.2385,0.0917,12.2596,3.5195
9083,Technical Passing,2,1/13/2022,N,Forward,0:10:45,51.9904,32.9248,37.9406,17.3436,24.3066,33.6858,4.8301,0.1120,1.1882,3.0184
9083,3v3+1 Zone Passing to Pugg,3,1/13/2022,N,Forward,1:02:07,184.0436,114.9602,108.8713,59.2584,86.0852,121.3487,2.9627,0.0872,11.0714,3.5195
9083,5v5 Small Field,4,1/13/2022,N,Forward,1:12:52,191.4372,117.6866,112.1960,62.5379,85.6695,129.1582,2.6266,0.1022,9.3320,4.7974
9083,Session,0,1/13/2022,N,Forward,0:40:06,395.2838,242.2842,394.9123,146.9541,160.7028,271.5390,9.8474,0.0000,0.0000,4.3872
9083,Warm Up,1,1/13/2022,N,Forward,0:09:42,66.4513,39.0564,66.3460,22.7109,26.8400,47.0093,6.8434,0.0000,0.0000,2.5268
9083,Technical Passing,2,1/13/2022,N,Forward,0:08:39,81.3720,48.9981,81.2276,30.5344,31.7413,56.6363,9.3891,0.0000,0.0000,3.0375
9083,3v3+1 Zone Passing to Pugg,3,1/13/2022,N,Forward,0:07:12,76.2957,49.7841,76.2457,29.5099,33.7684,49.4841,10.5800,0.0000,0.0000,4.0532
9083,5v5 Small Field,4,1/13/2022,N,Forward,0:14:33,171.1648,104.4456,171.0930,64.1990,68.3531,118.4093,11.7618,0.0000,0.0000,4.3872
9472,Session,0,1/13/2022,N,Centre Back,0:12:38,84.0018,57.1012,83.9073,28.7008,43.5031,52.3772,6.6375,0.0000,0.0000,3.3978
9472,Warm Up,1,1/13/2022,N,Centre Back,0:33:46,281.9971,175.8569,281.8159,81.0652,139.3791,192.5406,8.3472,0.0000,0.0000,3.8943
9472,Technical Passing,2,1/13/2022,N,Centre Back,0:09:43,80.1671,62.0898,80.1327,25.2920,51.7768,40.8406,8.2366,0.0000,0.0000,5.0707
9472,3v3+1 Zone Passing to Pugg,3,1/13/2022,N,Centre Back,1:12:23,857.5510,677.8193,855.8472,282.0317,553.9194,402.3325,11.8370,83.2089,5.9685,4.9983
9472,5v5 Small Field,4,1/13/2022,N,Centre Back,0:10:10,67.7845,39.6325,67.4174,22.8765,27.4311,47.2122,6.6673,0.0000,2.4144,4.0113
9472,Session,0,1/13/2022,N,Centre Back,0:40:06,370.0811,233.0636,369.5155,128.8283,166.8781,245.9100,9.2195,0.0000,0.0000,3.9851
9472,Warm Up,1,1/13/2022,N,Centre Back,0:09:42,67.3516,41.9025,67.0892,22.7516,30.3375,45.3121,6.9361,0.0000,0.0000,2.7526
9472,Technical Passing,2,1/13/2022,N,Centre Back,0:08:39,87.8069,54.4167,87.7716,30.3392,38.6916,59.2877,10.1316,0.0000,0.0000,2.9069
9472,3v3+1 Zone Passing to Pugg,3,1/13/2022,N,Centre Back,0:07:12,74.0103,48.3593,73.8104,26.8657,34.5953,47.6056,10.2631,0.0000,0.0000,3.6411
9472,5v5 Small Field,4,1/13/2022,N,Centre Back,0:14:33,140.9123,88.3852,140.8443,48.8718,63.2536,93.7045,9.6829,0.0000,0.0000,3.9851
10340,Session,0,1/13/2022,N,Forward,0:09:31,155.8871,91.5090,155.8699,52.6661,62.5769,112.0650,16.3738,32.1218,0.3553,6.0265
10340,Warm Up,1,1/13/2022,N,Forward,1:23:38,506.7721,307.0552,506.4033,185.2286,205.5449,349.7679,6.0566,1.7640,2.2982,3.1424
10340,Technical Passing,2,1/13/2022,N,Forward,0:12:15,58.2020,35.2690,58.1416,20.5179,24.2721,39.8765,4.7505,0.0000,0.0000,1.8705
10340,3v3+1 Zone Passing to Pugg,3,1/13/2022,N,Forward,0:06:39,72.5675,44.3888,72.5491,27.6885,28.8038,50.0095,10.9116,0.0000,0.0000,2.5598
